"City","Year","Sport","Discipline","Event","Athlete","Gender","Country_Code","Country","Event_gender","Medal","latitude","longitude","n"
"Athens",2004,"Athletics","Athletics","shot put","BILONOG, Yuriy","Men","UKR","Ukraine","M","Gold",48.379433,31.16558,79
"Athens",2004,"Athletics","Athletics","long jump","PHILLIPS, Dwight","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Athletics","Athletics","decathlon","SEBRLE, Roman","Men","CZE","Czech Republic","M","Gold",49.817492,15.472962,19
"Athens",2004,"Athletics","Athletics","4x400m relay","WILLIE, Kelly","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Athletics","Athletics","javelin throw","THORKILDSEN, Andreas","Men","NOR","Norway","M","Gold",60.472024,8.468946,29
"Athens",2004,"Athletics","Athletics","4x100m relay","MCDONALD, Beverly","Women","JAM","Jamaica","W","Gold",18.109581,-77.297508,30
"Athens",2004,"Athletics","Athletics","pole vault","MACK, Timothy","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Athletics","Athletics","marathon","BALDINI, Stefano","Men","ITA","Italy","M","Gold",41.87194,12.56738,144
"Athens",2004,"Athletics","Athletics","20km race walk","TSOUMELEKA, Athanasia","Women","GRE","Greece","W","Gold",39.074208,21.824312,38
"Athens",2004,"Athletics","Athletics","4x100m relay","CAMPBELL, Darren","Men","GBR","United Kingdom","M","Gold",55.378051,-3.435973,134
"Athens",2004,"Athletics","Athletics","4x400m relay","ROBINSON, Moushaumi","Women","USA","United States","W","Gold",37.09024,-95.712891,579
"Athens",2004,"Athletics","Athletics","10000m","XING, Huina","Women","CHN","China","W","Gold",35.86166,104.195397,278
"Athens",2004,"Athletics","Athletics","4x400m relay","RICHARDS, Sanya","Women","USA","United States","W","Gold",37.09024,-95.712891,579
"Athens",2004,"Athletics","Athletics","4x400m relay","COX, Crystal","Women","USA","United States","W","Gold",37.09024,-95.712891,579
"Athens",2004,"Athletics","Athletics","heptathlon","KLUFT, Carolina","Women","SWE","Sweden","W","Gold",60.128161,18.643501,19
"Athens",2004,"Athletics","Athletics","110m hurdles","LIU, Xiang","Men","CHN","China","M","Gold",35.86166,104.195397,278
"Athens",2004,"Athletics","Athletics","high jump","SLESARENKO, Elena","Women","RUS","Russia","W","Gold",61.52401,105.318756,335
"Athens",2004,"Athletics","Athletics","discus throw","ALEKNA, Virgilijus","Men","LTU","Lithuania","M","Gold",55.169438,23.881275,8
"Athens",2004,"Athletics","Athletics","4x400m relay","WARINER, Jeremy","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Athletics","Athletics","javelin throw","MENENDEZ, Osleidys","Women","CUB","Cuba","W","Gold",21.521757,-77.781167,108
"Athens",2004,"Athletics","Athletics","800m","HOLMES, Kelly","Women","GBR","United Kingdom","W","Gold",55.378051,-3.435973,134
"Athens",2004,"Athletics","Athletics","100m","GATLIN, Justin","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Athletics","Athletics","4x400m relay","HARRIS, Otis","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Athletics","Athletics","100m","NESTERENKO, Yuliya","Women","BLR","Belarus","W","Gold",53.709807,27.953389,47
