"City","Year","Sport","Discipline","Event","Athlete","Gender","Country_Code","Country","Event_gender","Medal","latitude","longitude"
"Athens",2004,"Aquatics","Swimming","100m butterfly","DE BRUIJN, Inge","Women","NED","Netherlands","W","Bronze",52.132633,5.291266
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","KITAJIMA, Kosuke","Men","JPN","Japan","M","Bronze",36.204824,138.252924
"Athens",2004,"Aquatics","Swimming","200m butterfly","NAKANISHI, Yuko","Women","JPN","Japan","W","Bronze",36.204824,138.252924
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","BREMBILLA, Emiliano","Men","ITA","Italy","M","Bronze",41.87194,12.56738
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","LI, Ji","Women","CHN","China","W","Silver",35.86166,104.195397
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","HANSEN, Brendan","Men","USA","United States","M","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","100m backstroke","ROGAN, Markus","Men","AUT","Austria","M","Silver",47.516231,14.550072
"Athens",2004,"Aquatics","Swimming","800m freestyle","SHIBATA, Ai","Women","JPN","Japan","W","Gold",36.204824,138.252924
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","STEVENS, Craig","Men","AUS","Australia","M","Silver",-25.274398,133.775136
"Athens",2004,"Aquatics","Swimming","800m freestyle","MUNZ, Diana","Women","USA","United States","W","Bronze",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","YANG, Yu","Women","CHN","China","W","Silver",35.86166,104.195397
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","RUPPRATH, Thomas","Men","GER","Germany","M","Silver",51.165691,10.451526
"Athens",2004,"Aquatics","Swimming","50m freestyle","TRICKETT, Lisbeth","Women","AUS","Australia","W","Bronze",-25.274398,133.775136
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","KELLER, Klete","Men","USA","United States","M","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","100m freestyle","THORPE, Ian","Men","AUS","Australia","M","Bronze",-25.274398,133.775136
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","COUGHLIN, Natalie","Women","USA","United States","W","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","50m freestyle","DRAGANJA, Duje","Men","CRO","Croatia","M","Silver",45.1,15.2
"Athens",2004,"Aquatics","Swimming","400m freestyle","MANAUDOU, Laure","Women","FRA","France","W","Gold",46.227638,2.213749
"Athens",2004,"Aquatics","Swimming","400m individual medley","BARDACH, Georgina","Women","ARG","Argentina","W","Bronze",-38.416097,-63.616672
"Athens",2004,"Aquatics","Swimming","200m freestyle","THORPE, Ian","Men","AUS","Australia","M","Gold",-25.274398,133.775136
"Athens",2004,"Aquatics","Swimming","100m breaststroke","HANSEN, Brendan","Men","USA","United States","M","Silver",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","THOMAS, Petria","Women","AUS","Australia","W","Gold",-25.274398,133.775136
"Athens",2004,"Aquatics","Swimming","200m breaststroke","BEARD, Amanda","Women","USA","United States","W","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","CAPPELLAZZO, Federico","Men","ITA","Italy","M","Bronze",41.87194,12.56738
"Athens",2004,"Aquatics","Swimming","1500m freestyle","JENSEN, Larsen","Men","USA","United States","M","Silver",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","400m freestyle","KELLER, Klete","Men","USA","United States","M","Bronze",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","XU, Yanwei","Women","CHN","China","W","Silver",35.86166,104.195397
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","ZASTROW, Mitja","Men","NED","Netherlands","M","Silver",52.132633,5.291266
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","CROCKER, Ian","Men","USA","United States","M","Bronze",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","200m breaststroke","HANSEN, Brendan","Men","USA","United States","M","Bronze",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","JEFFREY, Rhi","Women","USA","United States","W","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","1500m freestyle","HACKETT, Grant","Men","AUS","Australia","M","Gold",-25.274398,133.775136
"Athens",2004,"Aquatics","Swimming","50m freestyle","DE BRUIJN, Inge","Women","NED","Netherlands","W","Gold",52.132633,5.291266
"Athens",2004,"Aquatics","Swimming","200m freestyle","PHELPS, Michael","Men","USA","United States","M","Bronze",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","200m butterfly","PARRY, Stephen","Men","GBR","United Kingdom","M","Bronze",55.378051,-3.435973
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","JOYCE, Kara Lynn","Women","USA","United States","W","Silver",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","100m freestyle","SCHOEMAN, Roland","Men","RSA","South Africa","M","Silver",-30.559482,22.937506
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","GOTZ, Daniela","Women","GER","Germany","W","Bronze",51.165691,10.451526
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","CONRAD, Lars","Men","GER","Germany","M","Silver",51.165691,10.451526
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","KENKHUIS, Johan","Men","NED","Netherlands","M","Silver",52.132633,5.291266
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","HALL, Gary Jr.","Men","USA","United States","M","Bronze",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","200m butterfly","THOMAS, Petria","Women","AUS","Australia","W","Silver",-25.274398,133.775136
"Athens",2004,"Aquatics","Swimming","100m breaststroke","HANSON, Brooke","Women","AUS","Australia","W","Silver",-25.274398,133.775136
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","DALLMANN, Petra","Women","GER","Germany","W","Bronze",51.165691,10.451526
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","DE BRUIJN, Inge","Women","NED","Netherlands","W","Bronze",52.132633,5.291266
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","CERCATO, Simone","Men","ITA","Italy","M","Bronze",41.87194,12.56738
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","WEIR, Amanda","Women","USA","United States","W","Silver",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","COUGHLIN, Natalie","Women","USA","United States","W","Silver",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","KRAYZELBURG, Lenny","Men","USA","United States","M","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","HENRY, Jodie","Women","AUS","Australia","W","Gold",-25.274398,133.775136
"Athens",2004,"Aquatics","Swimming","200m individual medley","BOVELL, George","Men","TRI","Trinidad and Tobago","M","Bronze",10.691803,-61.222503
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","KLIM, Michael","Men","AUS","Australia","M","Silver",-25.274398,133.775136
